epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,317.259,0.66129,0.90161,1.00958,0.8398,0.60516,0.67186,0.49951,1.10013,2.12399,1.26023,0.000656,0.000656,0.000656
26,329.412,0.63232,0.8445,0.98496,0.94052,0.58113,0.64003,0.50479,1.09139,2.21927,1.23296,0.00063125,0.00063125,0.00063125
27,341.634,0.66169,0.98849,1.05155,0.95024,0.57192,0.63559,0.51404,1.075,2.26018,1.22422,0.0006065,0.0006065,0.0006065
28,353.903,0.58575,0.85439,0.96261,0.83165,0.55557,0.64818,0.52867,1.04959,2.16915,1.20453,0.00058175,0.00058175,0.00058175
29,366.419,0.58679,0.81795,0.95732,0.85761,0.56061,0.64742,0.51147,1.083,2.07241,1.23517,0.000557,0.000557,0.000557
30,378.85,0.61685,0.8388,0.96014,0.77509,0.58838,0.66374,0.50437,1.12152,2.00025,1.2609,0.00053225,0.00053225,0.00053225
31,391.193,0.61561,0.80194,0.97975,0.79429,0.58838,0.67084,0.49211,1.08531,1.89525,1.23754,0.0005075,0.0005075,0.0005075
32,403.408,0.608,0.86472,0.99106,0.65978,0.67929,0.71581,0.52919,1.08261,1.79674,1.22229,0.00048275,0.00048275,0.00048275
33,415.638,0.62868,0.83495,0.99874,0.69277,0.65556,0.73492,0.53525,1.06607,1.77601,1.19903,0.000458,0.000458,0.000458
34,427.955,0.59755,0.78588,0.97305,0.75139,0.66975,0.74012,0.52387,1.09213,1.76161,1.21391,0.00043325,0.00043325,0.00043325
35,440.22,0.55051,0.78201,0.96713,0.79913,0.65106,0.73938,0.5277,1.10045,1.74439,1.24482,0.0004085,0.0004085,0.0004085
36,452.486,0.56436,0.75935,0.98954,0.779,0.71227,0.74829,0.51516,1.11691,1.73988,1.32129,0.00038375,0.00038375,0.00038375
37,464.759,0.53469,0.72903,0.95292,0.77669,0.75444,0.76038,0.52458,1.05016,1.68769,1.29537,0.000359,0.000359,0.000359
38,477.175,0.51304,0.71221,0.93996,0.81445,0.73332,0.76594,0.54885,1.0267,1.6743,1.25783,0.00033425,0.00033425,0.00033425
39,489.556,0.48066,0.71459,0.93278,0.82321,0.74975,0.75619,0.534,1.03045,1.63479,1.24839,0.0003095,0.0003095,0.0003095
40,501.74,0.4839,0.70074,0.94764,0.82459,0.72574,0.76092,0.53817,0.99976,1.59957,1.217,0.00028475,0.00028475,0.00028475
41,513.767,0.41604,0.77322,0.90036,0.78444,0.6708,0.734,0.53893,0.99791,1.59993,1.21534,0.00026,0.00026,0.00026
42,525.767,0.36854,0.81152,0.88008,0.72011,0.6812,0.73121,0.55399,1.00541,1.71743,1.21763,0.00023525,0.00023525,0.00023525
43,537.974,0.39491,0.75213,0.88832,0.70862,0.71843,0.76832,0.55093,1.00598,1.77669,1.21823,0.0002105,0.0002105,0.0002105
44,550.362,0.35345,0.79665,0.84951,0.70654,0.6664,0.7405,0.56306,1.03047,1.75041,1.23599,0.00018575,0.00018575,0.00018575
45,562.6,0.3536,0.74249,0.86139,0.85735,0.69369,0.77834,0.58151,1.04229,1.67717,1.25617,0.000161,0.000161,0.000161
46,574.966,0.37466,0.72505,0.88763,0.81659,0.76946,0.78711,0.58014,1.01834,1.5446,1.25441,0.00013625,0.00013625,0.00013625
47,587.134,0.32213,0.67363,0.86006,0.83669,0.77626,0.7923,0.57498,1.01084,1.50749,1.25091,0.0001115,0.0001115,0.0001115
48,599.142,0.3461,0.68652,0.8419,0.85589,0.77868,0.79215,0.58588,1.00261,1.47672,1.24985,8.675e-05,8.675e-05,8.675e-05
49,611.307,0.33737,0.6633,0.84805,0.84921,0.77954,0.79901,0.58484,0.99355,1.46938,1.24278,6.2e-05,6.2e-05,6.2e-05
50,623.377,0.32412,0.65632,0.85196,0.82051,0.74742,0.77732,0.58003,0.97903,1.46662,1.22612,3.725e-05,3.725e-05,3.725e-05
