epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0852,1.16591,3.53404,1.36022,0.00275,0.45202,0.02495,0.01106,1.12954,3.98195,1.42982,6.25e-05,6.25e-05,6.25e-05
2,30.0044,1.02065,3.26315,1.26986,0.005,0.61616,0.17511,0.08988,1.01156,3.78514,1.22634,0.000134777,0.000134777,0.000134777
3,44.5914,0.86432,2.55445,1.1285,0.00852,0.85859,0.20799,0.13787,0.95641,3.54143,1.12904,0.000204085,0.000204085,0.000204085
4,57.9636,0.8847,1.99004,1.15064,0.00883,0.86995,0.36661,0.27529,0.9507,3.39604,1.14135,0.000270422,0.000270422,0.000270422
5,70.6513,0.81942,1.85264,1.1054,0.75,0.08665,0.40952,0.2987,1.03558,3.41417,1.18539,0.00033379,0.00033379,0.00033379
6,83.5407,0.83214,1.56954,1.1346,1,0.08849,0.37864,0.27953,1.0466,3.48909,1.23328,0.000394188,0.000394188,0.000394188
7,95.8686,0.82271,1.4085,1.07125,0.90067,0.14735,0.43086,0.32893,1.06152,3.41773,1.22724,0.000451615,0.000451615,0.000451615
8,108.198,0.7895,1.30152,1.04488,0.80073,0.25151,0.46394,0.35018,1.18153,3.32504,1.30873,0.000506072,0.000506072,0.000506072
9,120.529,0.78362,1.21202,1.03243,0.91077,0.30509,0.45523,0.34479,1.19454,3.18761,1.33186,0.00055756,0.00055756,0.00055756
10,132.848,0.71932,1.19684,1.02991,0.59853,0.44786,0.43697,0.30528,1.18833,3.16532,1.37304,0.000606078,0.000606078,0.000606078
11,145.102,0.80456,1.25926,1.0842,0.6259,0.44382,0.44646,0.25223,1.23107,3.13718,1.37599,0.000651625,0.000651625,0.000651625
12,157.455,0.74844,1.20276,1.06093,0.62497,0.44681,0.49779,0.28236,1.24968,3.21369,1.2878,0.000694203,0.000694203,0.000694203
13,169.735,0.72602,1.09603,1.04481,0.69086,0.4297,0.51068,0.34604,1.20125,2.98501,1.27674,0.00073381,0.00073381,0.00073381
14,182.135,0.75087,1.09813,1.03152,0.7303,0.33056,0.42899,0.31144,1.17653,2.94997,1.30292,0.000770448,0.000770448,0.000770448
15,194.39,0.66909,1.05767,1.00499,0.81829,0.43056,0.49252,0.30599,1.1658,2.89235,1.30744,0.000804115,0.000804115,0.000804115
16,206.787,0.66836,1.00032,0.99977,0.63998,0.48743,0.51747,0.37879,1.10127,2.77867,1.23619,0.000834813,0.000834813,0.000834813
17,219.273,0.68374,1.043,1.0455,0.77767,0.50041,0.53012,0.39949,1.10817,2.77223,1.2626,0.000854,0.000854,0.000854
18,231.455,0.67179,0.99327,0.98658,0.77655,0.37146,0.499,0.36478,1.1159,2.79386,1.31988,0.00082925,0.00082925,0.00082925
19,243.766,0.73333,0.98216,1.03381,0.59066,0.42146,0.4873,0.34834,1.14377,2.71863,1.34133,0.0008045,0.0008045,0.0008045
20,255.978,0.6937,1.03256,1.0185,0.7416,0.51666,0.49668,0.32394,1.26539,2.69517,1.4807,0.00077975,0.00077975,0.00077975
21,268.369,0.69325,0.96527,1.01349,0.63006,0.53624,0.4852,0.32676,1.22818,2.62916,1.4115,0.000755,0.000755,0.000755
22,280.531,0.66307,0.93636,1.01446,0.67555,0.26931,0.42494,0.29388,1.20522,2.6563,1.36666,0.00073025,0.00073025,0.00073025
23,292.728,0.63631,0.89766,1.00156,0.50477,0.32197,0.41404,0.29561,1.16604,2.56023,1.35317,0.0007055,0.0007055,0.0007055
24,304.949,0.64393,0.92285,0.99059,0.87921,0.55756,0.65661,0.49159,1.11025,2.13144,1.28246,0.00068075,0.00068075,0.00068075
